info,room,url,allinfo,unitprice,price,communityName
"江宁,百家湖,举报","4室2厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101499460.html,"4室2厅1厨2卫,中楼层 (共6层),164.09㎡,暂无数据,2㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017-07-12,商品房,2004-08-04,普通住宅,满五年,非共有,已上传房本照片",20111,,"胜泰新寓,地图"
"建邺,水西门,举报","2室2厅,低楼层/共11层",https://nj.lianjia.com/ershoufang/103101495300.html,"2室2厅1厨2卫,低楼层 (共11层),68.64㎡,暂无数据,53.61㎡,塔楼,南 西,钢混结构,简装,三梯二十二户,有,70年,2017-07-11,商品房,2009-02-11,普通住宅,满五年,共有,已上传房本照片",50991,,"君园,地图"
"秦淮,秦虹,举报","3室1厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101493961.html,"3室1厅1厨1卫,高楼层 (共6层),64.96㎡,暂无数据,55.71㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-07-11,房改房,2006-09-21,普通住宅,满五年,共有,已上传房本照片",26170,,"乔虹苑,地图"
"浦口,泰山街道,举报","2室2厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101483522.html,"2室2厅1厨1卫,中楼层 (共6层),78.87㎡,平层,69.48㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017-07-08,商品房,2010-08-13,普通住宅,满五年,共有,已上传房本照片",20287,,"海润枫景家园,地图"
"玄武,后宰门,举报","3室1厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101464313.html,"3室1厅1厨1卫,中楼层 (共6层),62.23㎡,暂无数据,54.46㎡,板楼,南 北,钢混结构,简装,一梯四户,暂无数据,70年,2017-07-02,房改房,2000-08-13,普通住宅,满五年,非共有,已上传房本照片",28122,,"后宰门西村,地图"
"建邺,应天西路,举报","2室1厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101097434.html,"2室1厅1厨1卫,高楼层 (共6层),59.49㎡,平层,51.34㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017-03-15,房改房,2009-03-02,普通住宅,满五年,非共有,已上传房本照片",29417,,"虹苑新寓二村,地图"
"建邺,南苑,举报","2室2厅,低楼层/共9层",https://nj.lianjia.com/ershoufang/103101076178.html,"2室2厅1厨1卫,低楼层 (共9层),78.97㎡,暂无数据,68.04㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017-03-10,房改房,2010-03-10,普通住宅,满五年,非共有,已上传房本照片",29759,,"话园,地图"
"雨花台,宁南,举报","3室2厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101029468.html,"3室2厅1厨2卫,高楼层 (共6层),113.71㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017-02-26,商品房,1999-11-20,普通住宅,满五年,非共有,已上传房本照片",30165,,"康盛花园,地图"
"玄武,樱驼花园,举报","2室1厅,低楼层/共6层",https://nj.lianjia.com/ershoufang/103101024162.html,"2室1厅1厨1卫,低楼层 (共6层),60.98㎡,平层,36.08㎡,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017-02-25,房改房,2009-02-18,普通住宅,满五年,非共有,已上传房本照片",27223,,"樱驼花园跃新园,地图"
"江宁,麒麟镇,举报","2室2厅,低楼层/共6层",https://nj.lianjia.com/ershoufang/103101397484.html,"2室2厅1厨1卫,低楼层 (共6层),82.31㎡,平层,71.64㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017-06-11,商品房,2011-06-13,普通住宅,满五年,非共有,已上传房本照片",19804,,"东郊小镇第二街区,地图"
"江宁,百家湖,举报","2室2厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101822919.html,"2室2厅1厨1卫,中楼层 (共6层),95.99㎡,平层,95.99㎡,板塔结合,南,砖混结构,其他,一梯三户,暂无数据,70年,2017-10-17,商品房,1998-12-25,普通住宅,满五年,非共有,已上传房本照片",28337,,"21世纪现代城,地图"
"鼓楼,金陵小区,举报","2室1厅,低楼层/共7层",https://nj.lianjia.com/ershoufang/103101822884.html,"2室1厅1厨1卫,低楼层 (共7层),57.38㎡,暂无数据,48.23㎡,板楼,西,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-17,商品房,2003-09-07,普通住宅,满五年,非共有,已上传房本照片",24748,,"燕归园,地图"
"浦口,桥北,举报","3室2厅,中楼层/共11层",https://nj.lianjia.com/ershoufang/103101822713.html,"3室2厅1厨1卫,中楼层 (共11层),105.4㎡,平层,89.49㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017-10-17,商品房,2009-04-13,普通住宅,满五年,共有,已上传房本照片",20494,,"天润城第四街区,地图"
"秦淮,秦虹,举报","3室1厅,高楼层/共7层",https://nj.lianjia.com/ershoufang/103101822227.html,"3室1厅1厨1卫,高楼层 (共7层),76.21㎡,平层,64.85㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017-10-17,房改房,2012-10-24,普通住宅,满两年,非共有,已上传房本照片",27556,,"乔虹苑,地图"
"栖霞,迈皋桥,举报","2室1厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101821153.html,"2室1厅1厨1卫,高楼层 (共6层),61.3㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-16,商品房,1994-10-05,普通住宅,满五年,非共有,已上传房本照片",27407,,"迈皋桥街258号,地图"
"建邺,奥体,举报","3室2厅,高楼层/共43层",https://nj.lianjia.com/ershoufang/103101820432.html,"3室2厅1厨2卫,高楼层 (共43层),166.42㎡,平层,121.25㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-16,商品房,2015-03-09,普通住宅,满两年,共有,已上传房本照片",41943,,"苏宁滨江壹号,地图"
"鼓楼,三牌楼,举报","2室1厅,低楼层/共8层",https://nj.lianjia.com/ershoufang/103101819983.html,"2室1厅1厨1卫,低楼层 (共8层),49.82㎡,平层,42.9㎡,板楼,西,砖混结构,其他,一梯三户,暂无数据,70年,2017-10-16,房改房,2010-09-15,普通住宅,满五年,非共有,已上传房本照片",37134,,"和会街,地图"
"浦口,桥北,举报","3室2厅,中楼层/共28层",https://nj.lianjia.com/ershoufang/103101819441.html,"3室2厅1厨1卫,中楼层 (共28层),111.66㎡,暂无数据,84.97㎡,塔楼,南 北,钢混结构,其他,两梯三户,有,70年,2017-10-15,商品房,2013-06-17,普通住宅,满两年,非共有,已上传房本照片",25524,,"旭日爱上城第四区北区,地图"
"浦口,浦口其它,举报","3室2厅,低楼层/共11层",https://nj.lianjia.com/ershoufang/103101818152.html,"3室2厅1厨2卫,低楼层 (共11层),115.08㎡,平层,1㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017-10-15,商品房,2015-10-01,普通住宅,满两年,共有,已上传房本照片",22420,,"北江锦城,地图"
"江宁,百家湖,举报","3室2厅,高楼层/共20层",https://nj.lianjia.com/ershoufang/103101818014.html,"3室2厅1厨2卫,高楼层 (共20层),130.66㎡,平层,100.8㎡,板塔结合,南,钢混结构,其他,一梯三户,暂无数据,70年,2017-10-15,商品房,2014-09-03,普通住宅,满两年,共有,已上传房本照片",34441,,"瑞鸿名邸,地图"
"江宁,将军大道,举报","3室2厅,低楼层/共6层",https://nj.lianjia.com/ershoufang/103101817663.html,"3室2厅1厨2卫,低楼层 (共6层),114.76㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-15,商品房,2009-03-09,普通住宅,满五年,共有,已上传房本照片",21349,,"江南青年城翠湾苑,地图"
"浦口,江浦街道,举报","3室2厅,中楼层/共5层",https://nj.lianjia.com/ershoufang/103101817469.html,"3室2厅1厨2卫,中楼层 (共5层),114.69㎡,平层,102.99㎡,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-15,商品房,2012-11-07,普通住宅,满两年,非共有,已上传房本照片",25984,,"钱塘望景花园,地图"
"玄武,迈皋桥,举报","2室1厅,低楼层/共6层",https://nj.lianjia.com/ershoufang/103101817284.html,"2室1厅1厨1卫,低楼层 (共6层),59.46㎡,平层,50.15㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-15,房改房,2011-11-17,普通住宅,满五年,非共有,已上传房本照片",30609,,"北苑一村,地图"
"江宁,百家湖,举报","2室2厅,高楼层/共26层",https://nj.lianjia.com/ershoufang/103101817164.html,"2室2厅1厨1卫,高楼层 (共26层),90.09㎡,平层,70.83㎡,塔楼,南 北,钢混结构,精装,两梯五户,有,70年,2017-10-15,商品房,2015-03-31,普通住宅,满两年,非共有,已上传房本照片",30193,,"21世纪国际公寓,地图"
"浦口,浦口其它,举报","3室2厅,中楼层/共5层",https://nj.lianjia.com/ershoufang/103101816967.html,"3室2厅1厨2卫,中楼层 (共5层),128.95㎡,平层,116.76㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-15,商品房,2014-01-16,普通住宅,满两年,共有,已上传房本照片",22955,,"北江锦城,地图"
"江宁,麒麟镇,举报","3室2厅,中楼层/共5层",https://nj.lianjia.com/ershoufang/103101816922.html,"3室2厅1厨1卫,中楼层 (共5层),90.84㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-15,商品房,2008-12-08,普通住宅,满五年,非共有,已上传房本照片",20916,,"东郊小镇第三街区,地图"
"栖霞,迈皋桥,举报","2室2厅,中楼层/共11层",https://nj.lianjia.com/ershoufang/103101816592.html,"2室2厅1厨1卫,中楼层 (共11层),102.95㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,70年,2017-10-15,商品房,2007-10-10,普通住宅,满五年,共有,已上传房本照片",27878,,"馨怡园,地图"
"鼓楼,龙江,举报","2室1厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101798495.html,"2室1厅1厨1卫,高楼层 (共6层),54.86㎡,平层,46.79㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017-10-10,房改房,2015-05-07,普通住宅,满两年,共有,已上传房本照片",41014,,"腾飞园,地图"
"栖霞,仙林,举报","2室2厅,低楼层/共11层",https://nj.lianjia.com/ershoufang/103101826024.html,"2室2厅1厨1卫,低楼层 (共11层),94.46㎡,暂无数据,78.26㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017-10-18,商品房,2012-07-05,普通住宅,满五年,共有,已上传房本照片",33877,,"亚东城西区,地图"
"江宁,百家湖,举报","2室2厅,中楼层/共18层",https://nj.lianjia.com/ershoufang/103101819270.html,"2室2厅1厨1卫,中楼层 (共18层),93.78㎡,平层,78.91㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,70年,2017-10-15,商品房,2009-05-19,普通住宅,满五年,共有,已上传房本照片",25592,,"水月秦淮,地图"
"江宁,东山镇,举报","3室2厅,中楼层/共11层",https://nj.lianjia.com/ershoufang/103100867174.html,"3室2厅1厨1卫,中楼层 (共11层),55.76㎡,跃层,42.48㎡,板楼,南 北,钢混结构,精装,一梯六户,有,70年,2016-12-26,商品房,2011-04-14,普通住宅,满五年,非共有,已上传房本照片",36765,,"市政天元城,地图"
"江宁,麒麟镇,举报","2室1厅,中楼层/共7层",https://nj.lianjia.com/ershoufang/103101828606.html,"2室1厅1厨1卫,中楼层 (共7层),65.65㎡,暂无数据,51.82㎡,板楼,西北,钢混结构,精装,两梯二十五户,有,70年,2017-10-19,商品房,2011-03-30,普通住宅,满五年,非共有,已上传房本照片",23611,,"东郊小镇第四街区,地图"
"鼓楼,华侨路,举报","2室2厅,中楼层/共7层",https://nj.lianjia.com/ershoufang/103101792652.html,"2室2厅1厨1卫,中楼层 (共7层),72.36㎡,暂无数据,63.74㎡,板楼,东 西,砖混结构,简装,一梯两户,暂无数据,70年,2017-10-08,房改房,2010-06-09,普通住宅,满五年,非共有,已上传房本照片",46297,,"清凉山庄,地图"
"雨花台,安德门,举报","3室2厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101825326.html,"3室2厅1厨1卫,高楼层 (共6层),105.81㎡,暂无数据,93.2㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017-10-18,动迁安置房,2009-06-15,普通住宅,满五年,共有,已上传房本照片",31756,,"金蕊家苑,地图"
"鼓楼,凤凰西街,举报","2室1厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101793544.html,"2室1厅1厨1卫,中楼层 (共6层),66.99㎡,平层,57.77㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-08,房改房,2007-08-29,普通住宅,满五年,非共有,已上传房本照片",64189,,"育才公寓,地图"
"玄武,丹凤街,举报","3室0厅,低楼层/共7层",https://nj.lianjia.com/ershoufang/103101802163.html,"3室0厅1厨1卫,低楼层 (共7层),50.06㎡,平层,暂无数据,板楼,东 西,钢混结构,其他,一梯两户,暂无数据,70年,2017-10-11,房改房,2010-10-12,普通住宅,满五年,非共有,已上传房本照片",34959,,"丹凤街,地图"
"浦口,江浦街道,举报","3室2厅,低楼层/共6层",https://nj.lianjia.com/ershoufang/103101382861.html,"3室2厅1厨2卫,低楼层 (共6层),123.56㎡,暂无数据,112.33㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-06-07,商品房,2013-01-04,普通住宅,满两年,共有,已上传房本照片",22581,,"钱塘望景花园,地图"
"雨花台,雨花新村,举报","3室2厅,中楼层/共11层",https://nj.lianjia.com/ershoufang/103101140879.html,"3室2厅1厨1卫,中楼层 (共11层),113.48㎡,暂无数据,96.8㎡,板塔结合,南 西 北,钢混结构,简装,一梯两户,有,70年,2017-03-26,商品房,2006-02-23,普通住宅,满五年,非共有,已上传房本照片",34808,,"四季阳光花园,地图"
"玄武,红山,举报","2室2厅,高楼层/共11层",https://nj.lianjia.com/ershoufang/103101706121.html,"2室2厅1厨1卫,高楼层 (共11层),80.87㎡,暂无数据,66.03㎡,板楼,南 北,钢混结构,其他,一梯三户,有,70年,2017-09-09,商品房,2013-05-09,普通住宅,满两年,非共有,已上传房本照片",35861,,"中电颐和家园一期,地图"
"江宁,百家湖,举报","4室1厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101060300.html,"4室1厅1厨2卫,高楼层 (共6层),141.02㎡,平层,127.75㎡,板塔结合,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017-03-05,商品房,2009-07-28,普通住宅,满五年,共有,已上传房本照片",22550,,"百家湖西花园伦敦城,地图"
"秦淮,洪家园,举报","3室1厅,高楼层/共7层",https://nj.lianjia.com/ershoufang/103101390026.html,"3室1厅1厨1卫,高楼层 (共7层),74.9㎡,平层,65.06㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017-06-09,房改房,2009-09-09,普通住宅,满五年,共有,已上传房本照片",30041,,"风光里小区,地图"
"建邺,奥体,举报","2室2厅,低楼层/共12层",https://nj.lianjia.com/ershoufang/103101340983.html,"2室2厅1厨1卫,低楼层 (共12层),50.04㎡,暂无数据,38.99㎡,板塔结合,南,钢混结构,简装,两梯十二户,有,70年,2017-05-24,商品房,2010-03-29,普通住宅,满五年,共有,已上传房本照片",53957,,"金基汇锦国际,地图"
"秦淮,瑞金路,举报","3室1厅,中楼层/共7层",https://nj.lianjia.com/ershoufang/103101328690.html,"3室1厅1厨1卫,中楼层 (共7层),104.51㎡,暂无数据,93.34㎡,板楼,南 西 北,钢混结构,简装,一梯两户,有,70年,2017-05-20,房改房,1999-03-25,普通住宅,满五年,非共有,已上传房本照片",35882,,"瑞阳街1号,地图"
"鼓楼,华侨路,举报","3室2厅,低楼层/共7层",https://nj.lianjia.com/ershoufang/103101198191.html,"3室2厅1厨1卫,低楼层 (共7层),147.94㎡,平层,130.93㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2017-04-12,房改房,2003-06-13,普通住宅,满五年,非共有,已上传房本照片",29742,,"明华新村,地图"
"鼓楼,凤凰西街,举报","2室1厅,中楼层/共7层",https://nj.lianjia.com/ershoufang/103101195443.html,"2室1厅1厨1卫,中楼层 (共7层),80.72㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,暂无数据,70年,2017-04-11,商品房,2002-03-04,普通住宅,满五年,共有,已上传房本照片",33697,,"莫愁花园牡丹里,地图"
"鼓楼,建宁路,举报","2室2厅,中楼层/共27层",https://nj.lianjia.com/ershoufang/103101187278.html,"2室2厅1厨1卫,中楼层 (共27层),95.37㎡,暂无数据,74.7㎡,板楼,南 北,钢混结构,精装,两梯三户,有,70年,2017-04-08,商品房,2009-02-23,普通住宅,满五年,共有,已上传房本照片",31771,,"明城华贵园,地图"
"江宁,九龙湖,举报","4室2厅,低楼层/共3层",https://nj.lianjia.com/ershoufang/103101161811.html,"4室2厅1厨2卫,低楼层 (共3层),152.51㎡,暂无数据,134.01㎡,板楼,东 南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2017-04-01,商品房,2009-12-09,普通住宅,满五年,共有,已上传房本照片",27540,,"颐和南园,地图"
"栖霞,马群,举报","2室2厅,高楼层/共16层",https://nj.lianjia.com/ershoufang/103100810553.html,"2室2厅1厨1卫,高楼层 (共16层),98.76㎡,平层,75.84㎡,板塔结合,南,钢混结构,精装,两梯两户,有,70年,2016-12-08,商品房,2010-05-04,普通住宅,满五年,共有,已上传房本照片",27137,,"钟山晶典苑,地图"
"江宁,百家湖,举报","4室2厅,高楼层/共17层",https://nj.lianjia.com/ershoufang/103100600976.html,"4室2厅1厨2卫,高楼层 (共17层),154.71㎡,平层,暂无数据,板楼,南,砖混结构,其他,两梯两户,有,70年,2016-09-29,商品房,2005-06-16,普通住宅,满五年,非共有,已上传房本照片",31026,,"水竹苑,地图"
"鼓楼,龙江,举报","2室2厅,高楼层/共9层",https://nj.lianjia.com/ershoufang/103100565532.html,"2室2厅1厨1卫,高楼层 (共9层),87.29㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2016-09-16,房改房,2000-08-16,普通住宅,满五年,非共有,已上传房本照片",49032,,"金舟花园,地图"
"建邺,南苑,举报","2室2厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101461910.html,"2室2厅1厨1卫,中楼层 (共6层),89.25㎡,暂无数据,79.15㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017-07-01,商品房,2006-04-19,普通住宅,满五年,非共有,已上传房本照片",36415,,"吉庆家园逢春苑,地图"
"江宁,九龙湖,举报","3室2厅,高楼层/共18层",https://nj.lianjia.com/ershoufang/103101400382.html,"3室2厅1厨2卫,高楼层 (共18层),103.54㎡,平层,85.59㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,70年,2017-06-12,商品房,2012-10-15,普通住宅,满五年,非共有,已上传房本照片",24629,,"合家春天,地图"
"浦口,桥北,举报","3室2厅,中楼层/共11层",https://nj.lianjia.com/ershoufang/103101423909.html,"3室2厅1厨2卫,中楼层 (共11层),111.38㎡,暂无数据,95.78㎡,板塔结合,南,钢混结构,其他,一梯四户,有,70年,2017-06-19,商品房,2006-12-20,普通住宅,满五年,共有,已上传房本照片",21099,,"明发滨江新城二期,地图"
"鼓楼,草场门大街,举报","2室1厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101712010.html,"2室1厅1厨1卫,高楼层 (共6层),57.45㎡,平层,49.47㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017-09-10,房改房,2009-07-17,普通住宅,满五年,非共有,已上传房本照片",35684,,"江滨新寓,地图"
"玄武,长江路,举报","3室1厅,高楼层/共7层",https://nj.lianjia.com/ershoufang/103100700333.html,"3室1厅1厨1卫,高楼层 (共7层),67.32㎡,平层,57.71㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2016-11-01,房改房,2009-01-20,普通住宅,满五年,非共有,已上传房本照片",31938,,"红庙小区,地图"
